trial,model,property,category,within_similarity,outside_similarity,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
1,axxl-property,can dax,bird.n.01,0.21868573129177094,0.2774222791194916,0.5740380883216858,0.2878233790397644,0.3023340106010437,1,-0.33701667189598083,-0.45375218987464905,-0.5651353001594543
2,axxl-property,can dax,bird.n.01,0.24221734702587128,0.29829078912734985,0.5577680468559265,0.29926830530166626,0.27008530497550964,2,-0.08330604434013367,-0.11759963631629944,-0.24441012740135193
3,axxl-property,can dax,bird.n.01,0.24879522621631622,0.3206261396408081,0.5512844324111938,0.2984822690486908,0.29498815536499023,2,-0.09982550144195557,-0.1600341647863388,-0.25747251510620117
4,axxl-property,can dax,bird.n.01,0.2789158225059509,0.3828282654285431,0.5336703062057495,0.29952293634414673,0.28398218750953674,2,-0.10090821981430054,-0.18118461966514587,-0.2557693421840668
5,axxl-property,can dax,bird.n.01,0.3245524764060974,0.4000270962715149,0.5460655689239502,0.29509714245796204,0.2919793128967285,2,-0.07943662256002426,-0.14273594319820404,-0.19658559560775757
6,axxl-property,can dax,bird.n.01,0.1327376514673233,0.19204019010066986,0.5648003816604614,0.27001625299453735,0.26629072427749634,1,-0.3081672191619873,-0.641712486743927,-0.4871436059474945
7,axxl-property,can dax,bird.n.01,0.24528846144676208,0.2438618689775467,0.5668379068374634,0.29150593280792236,0.29216256737709045,1,-0.23642116785049438,-0.3878035247325897,-0.5423962473869324
8,axxl-property,can dax,bird.n.01,0.24899344146251678,0.24299511313438416,0.5548825263977051,0.27316656708717346,0.2711755335330963,2,-0.052827347069978714,-0.09208118915557861,-0.14147858321666718
9,axxl-property,can dax,bird.n.01,0.29617229104042053,0.2531113922595978,0.5631741285324097,0.2709677517414093,0.303197979927063,2,-0.048470497131347656,-0.07770882546901703,-0.14934061467647552
10,axxl-property,can dax,bird.n.01,0.2990616261959076,0.23666895925998688,0.5618208646774292,0.27260681986808777,0.28385069966316223,2,-0.06559907644987106,-0.14230085909366608,-0.19712182879447937
11,axxl-property,can dax,bird.n.01,0.1474493145942688,0.1837029606103897,0.5183522701263428,0.2519526481628418,0.2578023672103882,2,-0.11813727766275406,-0.3828665316104889,-0.2778599262237549
12,axxl-property,can dax,bird.n.01,0.2854004204273224,0.31136012077331543,0.5016583800315857,0.2729489505290985,0.27074068784713745,2,-0.22799351811408997,-0.26784396171569824,-0.42698222398757935
13,axxl-property,can dax,bird.n.01,0.3111204206943512,0.3713247776031494,0.5058244466781616,0.2718391716480255,0.2664874196052551,2,-0.16063189506530762,-0.19941756129264832,-0.32785752415657043
14,axxl-property,can dax,bird.n.01,0.3443022668361664,0.41003307700157166,0.5197597742080688,0.2620237171649933,0.26618412137031555,2,-0.12270766496658325,-0.20123335719108582,-0.282605916261673
15,axxl-property,can dax,bird.n.01,0.35039588809013367,0.41947320103645325,0.5323963761329651,0.269386351108551,0.2648935317993164,2,-0.13638824224472046,-0.2374466061592102,-0.30674928426742554
16,axxl-property,can dax,bird.n.01,0.21868573129177094,0.2774222791194916,0.5740380883216858,0.2878233790397644,0.2752739191055298,2,-0.10528179258108139,-0.22716934978961945,-0.1848519742488861
17,axxl-property,can dax,bird.n.01,0.2117537260055542,0.26227307319641113,0.5550272464752197,0.2836780250072479,0.290287584066391,2,-0.16385343670845032,-0.27013739943504333,-0.34596654772758484
18,axxl-property,can dax,bird.n.01,0.24701496958732605,0.2724955976009369,0.5585128664970398,0.2754766345024109,0.29194965958595276,2,-0.1237308606505394,-0.19758571684360504,-0.2848055064678192
19,axxl-property,can dax,bird.n.01,0.25409942865371704,0.294455349445343,0.533974289894104,0.26929789781570435,0.26843854784965515,2,-0.11416151374578476,-0.19975049793720245,-0.2619081139564514
20,axxl-property,can dax,bird.n.01,0.26075509190559387,0.2947637140750885,0.5340060591697693,0.25022393465042114,0.28850868344306946,2,-0.1018754318356514,-0.3032371699810028,-0.18916068971157074
21,axxl-property,can dax,bird.n.01,0.24843156337738037,0.27845069766044617,0.4867745637893677,0.26607125997543335,0.2630116641521454,2,-0.07150354981422424,-0.09771611541509628,-0.1488744169473648
22,axxl-property,can dax,bird.n.01,0.21609364449977875,0.28561392426490784,0.5190897583961487,0.2811122238636017,0.2696244418621063,2,-0.06072331964969635,-0.14740043878555298,-0.15923000872135162
23,axxl-property,can dax,bird.n.01,0.2807641625404358,0.3283785879611969,0.522680938243866,0.27192723751068115,0.2694658041000366,2,-0.05890299752354622,-0.08441492915153503,-0.1540493369102478
24,axxl-property,can dax,bird.n.01,0.3265782296657562,0.37626639008522034,0.5287169218063354,0.27568477392196655,0.2724151611328125,2,-0.06909202039241791,-0.12218913435935974,-0.15230326354503632
25,axxl-property,can dax,bird.n.01,0.33757278323173523,0.3736264705657959,0.5260257720947266,0.27728086709976196,0.26902297139167786,2,-0.0967978835105896,-0.13592389225959778,-0.2795032262802124
26,axxl-property,can dax,bird.n.01,0.23192356526851654,0.3803631365299225,0.4871585965156555,0.2783500552177429,0.27393874526023865,2,-0.1839694380760193,-0.2297893762588501,-0.2234179973602295
27,axxl-property,can dax,bird.n.01,0.26141926646232605,0.41538822650909424,0.4935762882232666,0.2794266939163208,0.2672724425792694,2,-0.12174048274755478,-0.10664638131856918,-0.1712728887796402
28,axxl-property,can dax,bird.n.01,0.31634700298309326,0.4240071773529053,0.5139828324317932,0.27985256910324097,0.262478768825531,2,-0.12080981582403183,-0.09568648040294647,-0.20980897545814514
29,axxl-property,can dax,bird.n.01,0.3146035373210907,0.3913099765777588,0.5151823163032532,0.2795458137989044,0.280718058347702,2,-0.10375259816646576,-0.11718161404132843,-0.12357868254184723
30,axxl-property,can dax,bird.n.01,0.3390054404735565,0.4046732187271118,0.5093079805374146,0.27909088134765625,0.28773194551467896,2,-0.06998012959957123,-0.08325481414794922,-0.1448010504245758
31,axxl-property,can dax,bird.n.01,0.26042380928993225,0.33166515827178955,0.5402956008911133,0.2984244227409363,0.29671037197113037,1,-0.4260300099849701,-0.6591211557388306,-0.5558273792266846
32,axxl-property,can dax,bird.n.01,0.3047998547554016,0.39163705706596375,0.5248672366142273,0.2995133101940155,0.27884021401405334,1,-0.3873896896839142,-0.3946323096752167,-0.6318062543869019
33,axxl-property,can dax,bird.n.01,0.29062122106552124,0.3856586217880249,0.5280233025550842,0.3164331316947937,0.29505831003189087,2,-0.1013256385922432,-0.09364785999059677,-0.15307337045669556
34,axxl-property,can dax,bird.n.01,0.31343427300453186,0.41543903946876526,0.5253512263298035,0.29347679018974304,0.2931884229183197,2,-0.0849580317735672,-0.11763299256563187,-0.17664529383182526
35,axxl-property,can dax,bird.n.01,0.31216320395469666,0.3921613395214081,0.5324581265449524,0.2987406253814697,0.28712067008018494,3,-0.02663579210639,-0.04778486117720604,-0.042715128511190414
36,axxl-property,can dax,bird.n.01,0.29932141304016113,0.3601360023021698,0.5208262205123901,0.29637596011161804,0.2970460057258606,2,-0.06820064783096313,-0.07132533192634583,-0.13284708559513092
37,axxl-property,can dax,bird.n.01,0.305682897567749,0.39812275767326355,0.4876773953437805,0.2844087779521942,0.2727685868740082,2,-0.05742840841412544,-0.056031983345746994,-0.19428391754627228
