trial,model,property,category,n,similarity_within,similarity_similar,similarity_random,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
1,bl-property,can dax,bird.n.01,1,0.30555805563926697,0.3578853905200958,0.3114168047904968,0.5740381479263306,0.26695072650909424,0.3023340106010437,2,-0.25405073165893555,-0.2114807665348053,-0.23211798071861267
2,bl-property,can dax,bird.n.01,2,0.4139883518218994,0.49048957228660583,0.41494986414909363,0.5577679872512817,0.2891538739204407,0.27008530497550964,3,-0.13062740862369537,-0.10219166427850723,-0.17349262535572052
3,bl-property,can dax,bird.n.01,3,0.43583738803863525,0.5037455558776855,0.4276321530342102,0.5512843728065491,0.28928667306900024,0.29498815536499023,3,-0.17994284629821777,-0.1534022092819214,-0.1520664095878601
4,bl-property,can dax,bird.n.01,4,0.4430658221244812,0.5102973580360413,0.4447370171546936,0.5336703062057495,0.27747204899787903,0.28398218750953674,4,-0.07507717609405518,-0.06857394427061081,-0.07242124527692795
5,bl-property,can dax,bird.n.01,5,0.45910876989364624,0.5207857489585876,0.44296398758888245,0.546065628528595,0.28209173679351807,0.2919793128967285,5,-0.05553985759615898,-0.06958843022584915,-0.056935373693704605
6,bl-property,can dax,bird.n.01,1,0.2799878418445587,0.3329991400241852,0.27552783489227295,0.5648004412651062,0.2795083522796631,0.26629072427749634,2,-0.2971557378768921,-0.25920966267585754,-0.33442118763923645
7,bl-property,can dax,bird.n.01,2,0.3594791889190674,0.40035533905029297,0.3427998125553131,0.5668379664421082,0.28567612171173096,0.29216256737709045,2,-0.256952702999115,-0.1794145107269287,-0.24992835521697998
8,bl-property,can dax,bird.n.01,3,0.4148324728012085,0.4853343367576599,0.4080352783203125,0.5548825263977051,0.2774868309497833,0.2711755335330963,1,-0.3564603328704834,-0.2500584125518799,-0.3507039248943329
9,bl-property,can dax,bird.n.01,4,0.45048078894615173,0.5093631744384766,0.43143194913864136,0.5631741285324097,0.2856168746948242,0.303197979927063,3,-0.1346551775932312,-0.11045755445957184,-0.11463221907615662
10,bl-property,can dax,bird.n.01,5,0.4649612009525299,0.5424613356590271,0.44414886832237244,0.5618208646774292,0.28425532579421997,0.28385069966316223,6,-0.047750744968652725,-0.052633579820394516,-0.06292550265789032
11,bl-property,can dax,bird.n.01,1,0.34524306654930115,0.422487735748291,0.34512221813201904,0.5183522701263428,0.2636737823486328,0.2578023672103882,2,-0.23063300549983978,-0.22020894289016724,-0.23825129866600037
12,bl-property,can dax,bird.n.01,2,0.40400734543800354,0.4584486782550812,0.3969131112098694,0.5016583800315857,0.26337626576423645,0.27074068784713745,2,-0.21962428092956543,-0.17064663767814636,-0.20773565769195557
13,bl-property,can dax,bird.n.01,3,0.43605905771255493,0.48475050926208496,0.4361761808395386,0.5058244466781616,0.2675679326057434,0.2664874196052551,1,-0.3765776753425598,-0.26703572273254395,-0.25571322441101074
14,bl-property,can dax,bird.n.01,4,0.4672060012817383,0.5342689156532288,0.45975345373153687,0.5197597742080688,0.2694448232650757,0.26618412137031555,2,-0.16560882329940796,-0.10665062069892883,-0.16072817146778107
15,bl-property,can dax,bird.n.01,5,0.488656222820282,0.555454432964325,0.4960879683494568,0.5323963165283203,0.2747354209423065,0.2648935317993164,2,-0.2200338989496231,-0.1517481803894043,-0.14952930808067322
16,bl-property,can dax,bird.n.01,1,0.30555805563926697,0.3578853905200958,0.31427091360092163,0.5740381479263306,0.26695072650909424,0.2752739191055298,1,-0.4384951591491699,-0.3644102215766907,-0.32017508149147034
17,bl-property,can dax,bird.n.01,2,0.38519617915153503,0.4419076442718506,0.3873596489429474,0.5550273656845093,0.25930747389793396,0.290287584066391,2,-0.23731184005737305,-0.24025237560272217,-0.19970254600048065
18,bl-property,can dax,bird.n.01,3,0.42783570289611816,0.4732186496257782,0.40867334604263306,0.5585129261016846,0.2669200301170349,0.29194965958595276,2,-0.21888647973537445,-0.22281117737293243,-0.22057318687438965
19,bl-property,can dax,bird.n.01,4,0.47000133991241455,0.5341510772705078,0.45516663789749146,0.5339742302894592,0.27364233136177063,0.26843854784965515,2,-0.23214632272720337,-0.2114478349685669,-0.26983657479286194
20,bl-property,can dax,bird.n.01,5,0.482573539018631,0.5599680542945862,0.47134363651275635,0.5340060591697693,0.27440953254699707,0.28850868344306946,1,-0.4105932116508484,-0.32380321621894836,-0.2668393850326538
21,bl-property,can dax,bird.n.01,1,0.32415902614593506,0.36177709698677063,0.3120541572570801,0.4867745637893677,0.25556233525276184,0.2630116641521454,4,-0.11655157804489136,-0.12502515316009521,-0.11202827095985413
22,bl-property,can dax,bird.n.01,2,0.40796494483947754,0.4772874712944031,0.3945263624191284,0.5190897583961487,0.2716433107852936,0.2696244418621063,4,-0.13289952278137207,-0.12562738358974457,-0.15017107129096985
23,bl-property,can dax,bird.n.01,3,0.43471240997314453,0.4952083230018616,0.43152284622192383,0.5226810574531555,0.27174112200737,0.2694658041000366,4,-0.08797252178192139,-0.0898626372218132,-0.088559590280056
24,bl-property,can dax,bird.n.01,4,0.4571267366409302,0.5133669972419739,0.4470658004283905,0.5287169218063354,0.270474910736084,0.2724151611328125,5,-0.06335148960351944,-0.06768074631690979,-0.08199487626552582
25,bl-property,can dax,bird.n.01,5,0.4757157862186432,0.5302314162254333,0.45053544640541077,0.5260257124900818,0.2745509743690491,0.26902297139167786,5,-0.04622854292392731,-0.044410210102796555,-0.06608369201421738
26,bl-property,can dax,bird.n.01,1,0.2954026162624359,0.34961017966270447,0.31169670820236206,0.4871585965156555,0.2619783282279968,0.27393874526023865,3,-0.2274770736694336,-0.22743280231952667,-0.18168503046035767
27,bl-property,can dax,bird.n.01,2,0.36386799812316895,0.41712817549705505,0.3682959973812103,0.493576318025589,0.26887840032577515,0.2672724425792694,2,-0.28163644671440125,-0.25140559673309326,-0.20269477367401123
28,bl-property,can dax,bird.n.01,3,0.4208906888961792,0.4831719994544983,0.4179990887641907,0.5139827728271484,0.2510373294353485,0.262478768825531,3,-0.11420071125030518,-0.13486146926879883,-0.10096949338912964
29,bl-property,can dax,bird.n.01,4,0.4598647952079773,0.5300146341323853,0.4606345295906067,0.5151823163032532,0.2631263732910156,0.280718058347702,4,-0.06145881861448288,-0.07853782176971436,-0.05728502944111824
30,bl-property,can dax,bird.n.01,5,0.47625577449798584,0.5432390570640564,0.4780908524990082,0.5093079805374146,0.258235365152359,0.28773194551467896,5,-0.04640257731080055,-0.06874575465917587,-0.06131339818239212
